,window_size,MAPE,RMSE,R2,MAE,SMAPE
0,1,0.19398406134263171,9.109482761461074,0.856702275173785,6.070157985429506,17.846900974369508
0,2,0.13836048720775576,5.506283102200545,0.9479940829793444,4.171164002548269,14.58389398298417
0,3,0.1144056584799321,4.31216671534061,0.9683065727349525,3.252960654154216,11.909154671927826
0,4,0.10055367621251643,3.5618334112559618,0.9785067657905784,2.7080968955467486,10.139651712869904
0,5,0.09161313347934115,3.1730619212877063,0.9830543201174726,2.422828343179491,8.948478562576444
0,6,0.09151696703047152,3.1292908578492717,0.9836075202921246,2.411361764360975,9.375984197078319
0,7,0.10251149220514376,3.406915958279055,0.9806926451700282,2.559601253187153,10.05458237435725
0,8,0.09564233599858825,3.24671994576895,0.9825847094640049,2.464483805582033,9.573926188453534
0,9,0.09638133598440378,3.2655157205833207,0.9824351525116426,2.4830644743783132,9.649912235467585
0,10,0.09700147837068794,3.2304659922414705,0.9828271156624615,2.526998121961415,9.663440226136368
0,11,0.09358296758499723,3.1104727827276277,0.9841021959147062,2.461651615474535,9.237335202624854
0,12,0.09817000505243563,3.500606129865187,0.9798694337815492,2.686000033886763,10.190097156266503
0,13,0.10811401903463837,3.719270734436864,0.9774005100291373,2.785625825910007,10.826213721114309
0,14,0.12675450993014362,4.368434971944007,0.9690449656738731,3.436844472531919,12.69669938652575
