,window_size,MAPE,RMSE,R2,MAE,SMAPE
0,1,0.18167268136992898,9.089213851639721,0.8573392503884958,5.868432392945161,17.18264041782654
0,2,0.13538701631070207,5.6581470592149525,0.9450858649760647,4.234795953140778,13.649728386780696
0,3,0.10996900464922235,4.398166746746601,0.9670298061413616,3.2595675514168936,11.247073172946543
0,4,0.11052363655612923,4.324837190665928,0.9683120539253717,3.288247595162227,11.110890554212054
0,5,0.11272381269670796,4.3775583758972605,0.9677473208802351,3.2329772777027554,11.101067038527374
0,6,0.11158389256905553,4.536953599819467,0.9655426822789377,3.3630365958580604,11.201760340323624
0,7,0.12051124185284248,4.508067859972684,0.9661950088356606,3.454434032171545,12.207841386649816
0,8,0.11310725755886575,4.398270818252573,0.9680401302999199,3.3325698291156307,11.330594359997875
0,9,0.13155280164217295,4.749252139832804,0.9628472230956154,3.6596127714429585,12.962327774834618
0,10,0.13209763211495362,4.904988628911145,0.9604096895149407,3.8057490767334863,13.300407583977854
0,11,0.13548909714058363,4.882687964883921,0.9608256073884315,3.774532739666925,13.264447614086325
0,12,0.14414877421121974,5.226490007250835,0.9551265209804262,4.141976669757035,15.317265119211104
0,13,0.13642779510990075,4.967002124105534,0.959693810368663,3.884452725158018,13.77405471109155
0,14,0.14301148149061982,5.318321894914306,0.954119432723301,4.128150879895245,14.37722052836775
