,window_size,MAPE,RMSE,R2,MAE,SMAPE
0,1,0.1535217133924975,20.637778761416534,0.8946199773102964,11.829279074797759,14.137807583217194
0,2,0.12497375798503042,14.961034808110256,0.9449109610402657,9.286075738011574,13.093773373522271
0,3,0.10549480627795235,12.061393645844056,0.9643982361050394,7.802656108385896,10.241131333202317
0,4,0.11461272099904769,13.433246268477808,0.9560593728257801,8.459681517502357,10.85026431867358
0,5,0.10209919365578667,11.908457266241546,0.9656204415917238,7.647463917732239,10.34611278757552
0,6,0.10133807597912885,12.024562181963118,0.9650918045110263,7.646077616231425,10.019033252076193
0,7,0.10210574782130792,12.073254096664865,0.964928092744475,7.678406849713393,10.169992837841738
0,8,0.10235733910161177,11.656753079217571,0.9674412323341408,7.658759692036513,9.838892275026174
0,9,0.09981973463837154,11.697317757647449,0.9673401016589988,7.535298211233957,9.772169242241276
0,10,0.10385319053716133,11.929639075713183,0.9661749333555194,7.7960839443069565,9.87871379644536
0,11,0.10349815311553881,11.829628418484068,0.966822752217468,7.790903395500736,9.965810140257645
0,12,0.10734062319141327,12.239930852395135,0.9645686882967651,8.091512958498766,10.253904511490546
0,13,0.09825443582525252,11.440398861326592,0.9691378609013513,7.5956902083228615,10.00568242982849
0,14,0.10870980084472016,12.60428917342926,0.9626138010526689,8.218228643911857,10.304842912021822
