,window_size,MAPE,RMSE,R2,MAE,SMAPE
0,1,0.09648393938002203,10.83091028850645,0.8877443521929307,6.336681829916464,9.208654348294193
0,2,0.07550309929950437,7.8673322570338025,0.94109154798469,4.94794580887775,7.63412236869169
0,3,0.06730054156493434,6.840309232704383,0.9557254769944352,4.428769542746348,6.711509671418178
0,4,0.07833807964726817,7.564346414261162,0.9461304976540788,5.01413390060951,7.775268150207169
0,5,0.07932058683355452,7.8670689192512615,0.9420014480209848,5.092894819047716,7.817025366262495
0,6,0.077341303611885,7.391518195384834,0.9490115767338269,4.946385256893985,7.711821278042182
0,7,0.0787538039634567,7.532559257542611,0.9471827833659585,5.0315958345440075,7.832817748326695
0,8,0.0743258677981094,7.129247633983886,0.9528808932628884,4.792136577849693,7.186173264484373
0,9,0.07832166918126066,7.452983968534858,0.9486846241461135,5.014655358450753,7.63535568063806
0,10,0.0774386267977866,7.437420921589254,0.9491216130416732,5.005214005065479,7.637942674081079
0,11,0.0762182771436037,7.345544568694407,0.9503967909172315,4.952581820280655,7.498998207683259
0,12,0.07696743168244455,7.371433437534956,0.9500680475373517,4.9801264574928,7.504683525547293
0,13,0.07518047746894853,7.261904971637484,0.9516175601146944,4.952271068797392,7.544294919773499
0,14,0.08043905904282199,7.728176332133045,0.9451689359673078,5.274726556848597,8.035445938790994
