,window_size,MAPE,RMSE,R2,MAE,SMAPE
0,1,0.09455267143936952,10.82919857099328,0.8877798311636713,6.329412537652093,9.193919812075421
0,2,0.07574766382218935,7.954627604560654,0.9397770073861753,5.011464670401852,7.819071031088015
0,3,0.06913631842347863,6.6467541446934115,0.9581956331591502,4.448233695879375,6.749846092210489
0,4,0.06396115541664849,6.334448004463465,0.9622238498526473,4.1983251900508485,6.401432361589551
0,5,0.06301376446127192,6.246888627006636,0.9634305214585952,4.176236179139879,6.206025439266671
0,6,0.058110378778142714,6.110835311696076,0.9651497866804107,3.9394452021672177,5.767525526288784
0,7,0.05836382544866028,6.09750783494233,0.9653905154492567,3.9564859632035376,5.828261348233526
0,8,0.058008727365778154,6.200790938626081,0.9643545725651483,3.970935361605164,5.822248127748583
0,9,0.06190821525670431,6.239677961632316,0.9640323973672251,4.12980147770473,6.0512328293183835
0,10,0.05922434045348056,6.314763837723006,0.9633222371342439,3.9875875514188257,5.916150562255043
0,11,0.05938088148251589,6.360726932641108,0.9628057949427593,4.005118079807447,5.922424955999859
0,12,0.06032777944543133,6.416340744489563,0.9621688545888288,4.059856470483933,6.000941022872961
0,13,0.06065118124956611,6.416138265086895,0.9622311230658769,4.082919148837819,6.0079347863869845
0,14,0.060707883872908215,6.381277333316144,0.9626158192646149,4.089179173222295,5.994895846785202
