,window_size,MAPE,RMSE,R2,MAE,SMAPE
0,1,0.23008505873798274,16.398946348157686,0.8726568893994288,12.15158533083426,20.49171028899327
0,2,0.1681563439704397,10.19588981329552,0.9508910709460348,8.037100764358936,16.656372736898277
0,3,0.16293443915174005,9.5255662883896,0.9573769979171135,7.547368705680926,16.68591997866606
0,4,0.16737039030090234,9.746753717747362,0.9556794632864192,7.666442096644435,17.086986255389018
0,5,0.15486212020055598,9.287046471011067,0.9600349652930666,7.128820230563481,15.14057548140397
0,6,0.1552767513359722,9.263152282184004,0.9604782278882914,7.0828339870159445,14.907145128382048
0,7,0.15180515757293075,9.141998720724882,0.9617610665206168,7.017356936360748,14.612124799441279
0,8,0.15263819836662146,9.136283113724167,0.9620775508583391,7.045008852126751,14.589264915471203
0,9,0.1534103654241679,9.173620353596968,0.9619863668123579,7.062454857145037,14.848598016104845
0,10,0.15769468669315748,9.333798622501218,0.9608447992786902,7.197325932893822,15.104205190392383
0,11,0.15486127528441665,9.203819641212652,0.9621316935297725,7.149167503135792,14.78589772558151
0,12,0.15685438184827719,9.299127762003485,0.9615513027114859,7.1932143016453205,15.117943024583969
0,13,0.1575527506686702,9.366047659332624,0.9612721993694354,7.254735948408351,15.457606171325219
0,14,0.15795101915142495,9.289131335034476,0.9621857025115053,7.162428357866076,15.166814814831511
