,window_size,MAPE,RMSE,R2,MAE,SMAPE
0,1,0.12881777725978943,2.456054751111692,0.8489189030335791,1.7366003506892436,12.562663701296769
0,2,0.09475594803580803,1.5771590410563725,0.9380480815199908,1.1791687757790494,9.306983428741075
0,3,0.07834084020376272,1.2822181296920474,0.9592821431326987,0.9357619154943179,7.684158350909801
0,4,0.07384288877079537,1.2658579949277733,0.960567579150408,0.9125945157018202,7.30775414788645
0,5,0.07560437603372525,1.1837867634921166,0.965673251509671,0.8813387983375125,7.528154780854887
0,6,0.0739906347966076,1.1340756935632674,0.9685952269405553,0.8619981412287359,7.259923455747673
0,7,0.0774358592667255,1.1674366627541153,0.9667647335638445,0.8905506134033203,7.887219762564973
0,8,0.07011202951567394,1.0710814205936439,0.9722062757141248,0.8201295467133217,6.95471113122414
0,9,0.08034124921537567,1.1635772770956507,0.9674276883675288,0.9038411140441894,7.734111143998956
0,10,0.07194018735258102,1.0991765313059778,0.9711379026941657,0.8429390406437057,7.261665975311487
0,11,0.07394975649926412,1.1195911605849487,0.9702679391727463,0.8581905399543651,7.4886452440428855
0,12,0.07251576700372529,1.0984063954936023,0.9715896655457059,0.8392532306866054,7.212395850798842
0,13,0.0758640662169153,1.1306878042733375,0.9700622077218288,0.8695768293212441,7.547249666659559
0,14,0.07591565418935078,1.140870591874356,0.9697444249644362,0.871209755650273,7.561500777292009
