,filter1,BPNN_MAPE,LSTM_MAPE,RNN_MAPE,filter2,BPNN_SMAPE,LSTM_SMAPE,RNN_SMAPE
0,10,0.5195618734476258,0.5354742835680485,0.44923080220653056,10,33.426852887021944,34.06582460113941,28.811955178341464
0,20,0.492609303922921,0.44418183132984124,0.4218833174356054,20,32.50782840693475,30.39952830285884,28.633446323987283
0,30,0.5948120323461848,0.46589242449872553,0.46242659485970355,30,36.24982821060836,31.64743516230154,30.533885409546606
0,40,0.6640979403275422,0.47764667080397555,0.4950926074963684,40,38.256559196313354,31.89043312331542,32.00769546287116
0,50,0.6700993948490835,0.5175942275270302,0.5289019162185974,50,38.347028178140825,32.96474892731057,33.30324492136898
0,60,0.651951118483469,0.5493515888759493,0.5562539787247522,60,37.718776261066864,34.23368010019611,34.54586707133034
0,70,0.6792243565722533,0.5938484709742278,0.5866277508470354,70,38.60408202058804,35.73596957742847,35.64572663775239
0,80,0.7009064068394878,0.626329054588191,0.613513556956181,80,39.447297304070766,37.19169139446255,36.86247702215089
0,90,0.7018392382913262,0.6536342841542291,0.6347757144006674,90,39.64876309663355,38.31826189078165,37.75425683801024
0,100,0.6964236670407989,0.6737024829171168,0.6478630046613867,100,39.63059212357842,39.034053269171274,38.34344862301025
