,filter1,BPNN_MAPE,LSTM_MAPE,RNN_MAPE,filter2,BPNN_SMAPE,LSTM_SMAPE,RNN_SMAPE
0,10,0.17646572568588356,0.17157924356223792,0.17618347231018808,10,16.980381519842634,16.448124181433883,16.953380653668663
0,20,0.1218047149575535,0.12344686149054127,0.12473654822416003,20,11.729740918422827,11.946015816792995,12.05757237068715
0,30,0.11318235058395806,0.10960247975974668,0.10661466603652262,30,10.88041629839898,10.46321719289973,10.299773092714414
0,40,0.12110366548177431,0.10928947857519562,0.1101702245140258,40,11.610493963789455,10.536600386637891,10.643451101886784
0,50,0.1340703839154212,0.11856061814021869,0.12093585899883953,50,12.831693363813418,11.436987037798593,11.644358569569436
0,60,0.1364282242518308,0.11821885677975298,0.12268100118736854,60,13.034953834592821,11.382895728627199,11.767032289839124
0,70,0.14377703599327213,0.13490128760036202,0.1371926693133935,70,13.675745608193235,12.954162268488917,13.073637331960846
0,80,0.14567391960227355,0.1387726007464178,0.14249552581042135,80,13.865259281305539,13.316571314327428,13.554540389945375
0,90,0.1477249793456288,0.14104897377246167,0.14349855771440448,90,14.091399150223491,13.53227905979259,13.62449020954179
0,100,0.14934319963494352,0.1432364884637361,0.14514826893498065,100,14.252451650399522,13.732202167973856,13.762274965711285
