,filter1,BPNN_MAPE,LSTM_MAPE,RNN_MAPE,filter2,BPNN_SMAPE,LSTM_SMAPE,RNN_SMAPE
0,10,0.2197446522513137,0.2215728028395882,0.22575298777081107,10,21.205992749828805,21.554100386088308,21.784237400671994
0,20,0.171166989538859,0.16497813654431395,0.17028688018693314,20,16.71628710249676,15.684289257618762,16.559207911260643
0,30,0.1405978289789642,0.12711963386393157,0.12602793384557884,30,13.92564823381584,12.406619664452121,12.459548879692832
0,40,0.12294301665480553,0.10056932942311116,0.09640072030345026,40,12.265104855270431,9.840185896128936,9.52014978080973
0,50,0.13031629464526484,0.09884060654291292,0.09738082772011916,50,12.960337711801323,9.659263756446698,9.546845616022631
0,60,0.13417940680344712,0.11435093165654096,0.11250284278002741,60,13.307117759992664,11.117947951429986,10.983190723315527
0,70,0.134065200783493,0.12338098645389092,0.12250067247415337,70,13.27247001417825,12.031120611399965,12.0311627782407
0,80,0.1358102958869817,0.12778817638854922,0.12477118181772139,80,13.43205789760249,12.42141714862892,12.26252515307061
0,90,0.13973044445755575,0.13268470879975436,0.127935433125141,90,13.834824221335001,12.9061186492093,12.608342724735316
0,100,0.14150342049533426,0.13545370657228,0.13315956439100396,100,14.026112138432007,13.191660487953497,13.121361639650733
