,filter1,BPNN_MAPE,LSTM_MAPE,RNN_MAPE,filter2,BPNN_SMAPE,LSTM_SMAPE,RNN_SMAPE
0,10,0.10676524701054303,0.0930147443983497,0.10195597530902178,10,10.585779027864026,9.33532344857744,10.08970624169823
0,20,0.09575644700168402,0.06300324070188582,0.08177011986618145,20,9.668073187784913,6.45540503212279,8.226731133295013
0,30,0.08961065670676499,0.0593825937314745,0.07654656895916725,30,9.051189494811075,6.116579846882809,7.7055760942689275
0,40,0.09117945133234483,0.06561144084059854,0.07824798862591371,40,9.202668746739521,6.757192334556334,7.870879596453209
0,50,0.09510244474590243,0.07147076700059769,0.08148696560621117,50,9.581233290727397,7.358781866909742,8.181842583657085
0,60,0.09676285301307211,0.07438044960465377,0.08445225922288434,60,9.727015287348168,7.615964177169133,8.456667883965858
0,70,0.09888155851101996,0.07531631497205504,0.08682534709027978,70,9.9354268934323,7.726965248113439,8.692112370381134
0,80,0.09979422419270505,0.07695292357887094,0.08811412304853883,80,10.02110990874137,7.885868931674506,8.81694777239729
0,90,0.09982717932914069,0.07936552719547849,0.08930225068187155,90,10.01997514154537,8.130342050813862,8.931489604471864
0,100,0.10045156419221381,0.0802774578834758,0.090229789238032,100,10.088992567843007,8.21974449503977,9.028028442258586
