,filter1,BPNN_MAPE,LSTM_MAPE,RNN_MAPE,filter2,BPNN_SMAPE,LSTM_SMAPE,RNN_SMAPE
0,10,0.21098699427564263,0.17571403928718435,0.19800880803195395,10,19.00227542194727,16.064282373560303,17.903032398936325
0,20,0.16485872593728526,0.13904948107009554,0.14759606006568488,20,15.164428985300974,12.890102510054902,13.650837669313814
0,30,0.16665302726860595,0.1304216424333612,0.13602002810536906,30,15.38524990986613,12.375431299718278,12.69015410994578
0,40,0.1689619783501118,0.14171564728384392,0.14364575059319845,40,15.589607097525041,13.361555099916655,13.37429255226968
0,50,0.17937164763007762,0.15824849921381903,0.1513246694053279,50,16.65563912878981,15.06173633921804,14.272993019038399
0,60,0.18467215397841924,0.16932459808535918,0.15936584804644566,60,17.076272855262502,16.077782060967007,15.030867360727296
0,70,0.18725358955484536,0.17760227862066347,0.1673635292338014,70,17.295800008935096,16.863190965414475,15.74326327529999
0,80,0.19001442422902537,0.18394012506656857,0.17102035154812156,80,17.550937621710837,17.444247157333958,16.038061537059992
0,90,0.19290916247474055,0.18806584242122437,0.1765228086642415,90,17.80253260015935,17.772406713653627,16.50847333935922
0,100,0.19336813789771665,0.1890654591154071,0.1776111825499816,100,17.865817619459545,17.87099619194049,16.630058039256145
