,filter1,BPNN_MAPE,LSTM_MAPE,RNN_MAPE,filter2,BPNN_SMAPE,LSTM_SMAPE,RNN_SMAPE
0,10,0.3455173420869841,0.33625632534709665,0.3461770670980458,10,27.96923288369823,30.74130492100759,29.303934914008995
0,20,0.20039378940552036,0.1772467226497262,0.19277249569826457,20,17.52289873583628,17.121112204013002,17.40299726112358
0,30,0.20159156787834936,0.1900909117304343,0.18742260885277784,30,17.52850458357509,18.05273353522828,16.64385788639709
0,40,0.21247214590807614,0.19754012844603258,0.19718101830813337,40,18.76432948493155,19.20985062567397,17.91458964268739
0,50,0.22779431669099467,0.2102328755518695,0.20809193956423788,50,19.837255618656442,20.375399770414415,18.771837578913726
0,60,0.24599414362666536,0.2288687617682688,0.22193323879731847,60,21.4257242579688,22.28395757512134,20.38013466931789
0,70,0.2517327471794088,0.22980264393559624,0.22245982007659992,70,22.00567851813295,22.18493408890519,20.27072430259008
0,80,0.2548993011179983,0.23587956832624693,0.227353804665962,80,22.12054167787036,22.63189355673184,20.496131911215567
0,90,0.2554354211683672,0.23617197124599,0.2276235081339021,90,22.19294062636063,22.7176788896778,20.432231028406267
0,100,0.2561517925056209,0.23753659521461057,0.23331414652249458,100,22.336361437023406,22.87332462735911,20.956478572932618
