,filter1,BPNN_MAPE,LSTM_MAPE,RNN_MAPE,filter2,BPNN_SMAPE,LSTM_SMAPE,RNN_SMAPE
0,10,0.2399842326771723,0.23553682992991795,0.23948730072474367,10,21.055526404465567,20.838360528290778,20.916811676689512
0,20,0.2207035787029353,0.215136967565371,0.21812530127290178,20,19.616910735159944,19.31278360985714,19.385941103018713
0,30,0.22729914142116567,0.22185152320012655,0.2189501849211514,30,20.257663001351737,19.934654339993184,19.433905640540836
0,40,0.24371709045209844,0.2447702891478256,0.24195453238813844,40,21.734418167474804,22.093966287832508,21.629347956776957
0,50,0.25047288678552465,0.25080533162371754,0.24875286779447237,50,22.31856990904852,22.626519087375314,22.165422045699444
0,60,0.24707313569169068,0.2491000939041512,0.24927588058933273,60,22.04278860087666,22.48943772926124,22.16824021270638
0,70,0.254414244057381,0.25571685036023456,0.2549568390193051,70,22.487324306691395,22.82376904900628,22.465637648577484
0,80,0.25968920055045386,0.2594288941387716,0.2590342554599727,80,22.696751439077385,22.86518546935286,22.604557453864597
0,90,0.26471945398474395,0.2633770174903957,0.2628071287723437,90,22.942706545649543,22.987963126325468,22.736358225417284
0,100,0.2676310867207235,0.265462498414462,0.2633189071803333,100,22.938230461829882,22.96847674637364,22.598358570305745
