,window_size,MAPE,RMSE,R2,MAE,SMAPE
0,1,0.12603262245975957,0.08970446023986332,0.8350800833353729,0.06867209755622589,12.095496022335132
0,2,0.08980526962428377,0.06373308948705224,0.9173038409714389,0.04730485845179785,8.76587216345277
0,3,0.0791481146404112,0.056728539620611744,0.9348548673623698,0.04088588341049952,7.7098917405425125
0,4,0.07703515333002964,0.055769340411942786,0.9374628247429213,0.039429362243619454,7.505165024836208
0,5,0.07362755735369365,0.056695130696078594,0.9357421430286825,0.038948807799153856,7.246580789030976
0,6,0.07497151684664219,0.0575824285944655,0.9336376234637386,0.039542878795337,7.377159443208761
0,7,0.07432773610255339,0.05643264473293775,0.9361783275732,0.039033127019942646,7.208794014260573
0,8,0.07433301876022298,0.05675176067214894,0.9353613731809459,0.03940570485507343,7.3000107775750696
0,9,0.07254045916684652,0.056290656425289735,0.9361619459772945,0.038797337076493674,7.119027883700811
0,10,0.0737645113322985,0.05745153696115438,0.9333342515688622,0.03956699578882121,7.294835575344968
0,11,0.0763939367097862,0.05794490994737554,0.9320009281646142,0.04036133031482282,7.457880490475649
0,12,0.07677978905360452,0.05816742642716105,0.9311673606735937,0.04065356365955659,7.511492188392614
0,13,0.07542500309215462,0.05815275152599243,0.9313579511078632,0.04021492231418105,7.399385135036797
0,14,0.07594349430090665,0.05844035897149423,0.931072770932492,0.04037097760924587,7.4227341938320865
