,window_size,MAPE,RMSE,R2,MAE,SMAPE
0,1,0.1260957034267052,0.08973918855962176,0.834952363927873,0.06863355628273508,12.07669476649222
0,2,0.0934026843924223,0.065299340667347,0.9131893540778796,0.048198732879697066,8.863219191436123
0,3,0.07904287933852108,0.05654547506315122,0.9352746392292652,0.04102059866467567,7.7361133851768225
0,4,0.08089847526665639,0.05772114068717544,0.9330089083901534,0.04183726738239156,7.856242664865787
0,5,0.07959527450410449,0.05632311737613714,0.9365826508845091,0.04062693525519635,7.776984109535245
0,6,0.08095078681765024,0.05713084316962829,0.9346744248229653,0.04118119993826725,7.850260407658917
0,7,0.0783065299191408,0.056676321903653716,0.9356259713510475,0.04037380580750989,7.553472607566182
0,8,0.08261604837798395,0.05826200716108356,0.931875343277253,0.042359652979999565,7.926103277604477
0,9,0.0740787247126632,0.05538954158371629,0.938189457502485,0.03893067164080483,7.186988412156762
0,10,0.07727915280979589,0.05645847789013413,0.9356189897914128,0.040437687571100195,7.464789257852017
0,11,0.07504280813182337,0.05599227285292755,0.9365065984987054,0.03982431825088418,7.324586152594314
0,12,0.07327782415692291,0.05597837747063304,0.9362507122732033,0.03956150530463587,7.268350494065046
0,13,0.07578263031204517,0.05644795250073491,0.9353235627006256,0.0397413143384106,7.282741323472569
0,14,0.07491452625411132,0.05639209431432477,0.9358197332531559,0.04007374277821293,7.340691386431178
